cost_usd,carbon_g,escalation_rate,logprob_threshold,cost_saving_pct
0.0603021,3.875048581672538,0.04666666666666667,-150.7897,88.73531719345438
0.09206210000000006,6.282357128938082,0.09666666666666666,-100.5689,82.80241724575954
0.1229696000000001,8.603567807418647,0.14666666666666667,-50.7689,77.02876783979674
0.1550271000000001,10.9661597543898,0.19666666666666666,-50.6367,71.0402936561309
0.1865971000000001,13.36132453631135,0.24666666666666667,-50.5068,65.1428864977957
0.21863960000000018,15.74139814974658,0.2966666666666667,-50.2173,59.1572143764477
0.24657460000000017,17.765966188090292,0.3466666666666667,-0.7425,53.93884031980869
0.27567960000000014,19.960864274028058,0.39666666666666667,-0.6429,48.501905402376124
0.30307459999999986,21.980775586807592,0.44666666666666666,-0.5807,43.38440558918033
0.3325520999999999,24.2012768263712,0.49666666666666665,-0.5526,37.87788612418742
0.35656709999999986,26.024455032589064,0.5466666666666666,-0.507,33.39178435328405
0.3845795999999999,28.145131520136555,0.5966666666666667,-0.4742,28.15893297466937
0.4125395999999999,30.223174314786043,0.6466666666666666,-0.4413,22.93588881416725
0.43495209999999995,31.859022858158514,0.6966666666666667,-0.4139,18.7491407008892
0.4611270999999998,33.78888029247438,0.7466666666666667,-0.3702,13.85954195621315
0.48697459999999965,35.77888774761442,0.7966666666666666,-0.338,9.03112157214383
0.5105870999999997,37.54364608992846,0.8466666666666667,-0.2998,4.620208473436504
0.5353345999999998,39.41183898970346,0.8966666666666666,-0.2479,-0.0027273406560057722
0.5555320999999998,40.86585520265604,0.9466666666666667,-0.1683,-3.775704251662515
