condition,intensity,greengate_g,b1_g,carbon_cut_pct
green_grid_50,50.0,4.368839067240595,8.298575521623638,47.35434948014042
world_avg_475,475.0,41.503971138785595,78.83646745542454,47.35434948014048
dirty_grid_800,800.0,69.90142507584952,132.7772083459782,47.35434948014042
