idx,shannon_raw,shannon_cal,semantic_entropy,n_clusters,k,extra_energy_j,base_energy_j,overhead_x,wall_s,small_score
0,4.051734314337373,15.697804406483968,-0.0,1,3,1050.8445796598016,513.7790009300984,3.0453241135925153,17.69564420899769,1
1,2.496761078480631,14.556163056691487,1.584962500721156,3,3,1017.1324407743966,461.6598866440516,3.2032073182018186,16.839226626998425,2
2,2.929028881021465,14.811373456319172,1.584962500721156,3,3,1023.2437407992007,466.0824413778418,3.1954136220499274,16.535460921997583,3
3,2.1410642428447804,14.927357444763183,1.584962500721156,3,3,1036.2745610881025,469.2470265727984,3.208377469446439,16.50743850699655,1
4,0.6701649357192219,13.755195026397706,1.584962500721156,3,3,979.0845646560219,157.09791017034283,7.232320745669951,15.559787758997118,1
5,1.1266220260970294,14.805699884096782,1.584962500721156,3,3,1051.2903821074347,472.5799009405533,3.2245770080680565,16.580611388999387,2
6,3.0998466206435116,15.222229983011882,1.584962500721156,3,3,1066.4150337813621,477.656899113532,3.232596317064586,16.72252173999732,2
7,2.7872585181767744,15.042043584187825,1.584962500721156,3,3,744.7273540562021,467.3529529134181,2.5935009063571073,11.579774442001508,1
8,1.6672701222728938,14.158326780001323,1.584962500721156,3,3,1063.3371091115982,475.6956440347232,3.2353307675736893,16.418194304998906,3
9,2.830463912061726,14.68067388534546,1.584962500721156,3,3,1073.5294413428885,473.75363117620003,3.2660078376130017,16.413772289000917,2
10,1.9855890221272905,14.133701076507569,1.584962500721156,3,3,947.433700361827,466.73911637138434,3.029899931523961,14.435849747002067,2
11,2.279426337437083,14.49866449991862,0.9182958340544896,2,3,1088.7522949133972,474.7398700107968,3.29336603830775,16.487652624000475,3
12,2.8275835807000598,15.474594198862711,0.9182958340544896,2,3,1099.485846282507,475.8158562379759,3.3107381392784165,16.513386077996984,2
13,2.7562085153286655,15.260968271891276,1.584962500721156,3,3,777.9070589540027,465.63773819090346,2.6706271746279167,11.725550750001275,2
14,1.8930264275086424,14.460855038960775,1.584962500721156,3,3,1101.1679194739618,464.6658239717896,3.369806133064813,16.465539012999216,3
15,2.5833222446901103,14.991872374216715,1.584962500721156,3,3,1030.0999350407762,471.94006581033074,3.1826922731641223,15.247045781998168,3
16,2.2957590599171818,15.149245065053304,1.584962500721156,3,3,1111.7175029783664,466.72070745530016,3.3819759552555104,16.36481790900143,2
17,1.97759093509987,14.392486305236817,1.584962500721156,3,3,1117.8398413475697,467.2194927778138,3.3925368239701386,16.366008614000748,3
18,1.0724953898013785,15.015183375431942,1.584962500721156,3,3,1169.7557760899083,40.34693769197758,29.992430231514142,17.0360627379996,1
19,1.9372674285481541,14.79467354790639,1.584962500721156,3,3,1179.8616851292845,184.10636287616927,7.40858722478193,17.15818721799951,4
20,3.2099785446748137,15.820302588144939,0.9182958340544896,2,3,1148.6981589719624,470.88781236152374,3.439430643174197,16.58603133500219,1
21,1.7897754901430258,14.650486764907837,1.584962500721156,3,3,1148.2783433895363,470.752153577455,3.4392418274951235,16.43662228500034,2
22,2.4403002836058536,14.893389873504638,1.584962500721156,3,3,1148.141978939094,469.5724544376368,3.44507949324693,16.382700632002525,4
23,1.6227360706746814,14.540940012250628,1.584962500721156,3,3,762.218382787795,199.6892902647523,4.817021843170607,10.828388349000306,4
24,2.4722717916592956,14.548992287317912,1.584962500721156,3,3,1156.6510020267046,475.3020941882142,3.4335070603932243,16.39418841099905,4
25,0.9979357677870072,14.868185263413649,1.584962500721156,3,3,862.6562038370286,40.07680254207933,22.52507558284541,12.211404794998089,1
26,1.83511875028722,14.832258599599202,1.584962500721156,3,3,1152.598213732179,475.58314810224226,3.4235472142599765,16.229963056997804,3
27,1.4270454966276884,14.828530460993449,1.584962500721156,3,3,1169.814937101588,466.3510600751461,3.508442753219191,16.371929152999655,2
28,3.0295981138478965,14.966559289296468,0.9182958340544896,2,3,1175.590796452961,459.3210733182153,3.5594096694939092,16.372676364000654,2
29,2.1610780283653486,14.663327490488689,1.584962500721156,3,3,1180.8756506492161,458.10503902966735,3.577739928708231,16.385687358000723,2
30,1.5324922443460673,15.342800941467285,0.9182958340544896,2,3,1175.919689430928,463.8340863292652,3.535216199260029,16.28287266299958,2
31,1.6692367349471897,14.291798267364502,1.584962500721156,3,3,1176.9182645735254,471.26599849843797,3.4973545053610025,16.18892891199721,5
32,2.0963340016175063,14.45975783665975,1.584962500721156,3,3,1197.7832763026513,467.74453658047645,3.5607637986736167,16.37916624600257,3
33,1.554139987186839,14.557560997009277,1.584962500721156,3,3,1194.2660932234187,467.1423377945988,3.5565357635139767,16.356884775999788,1
34,1.1705569851553688,14.518831977844238,0.9182958340544896,2,3,1185.763249371898,470.9252495246634,3.5179436663648183,16.315677727001457,2
35,0.8645624707701306,13.780214239756265,1.584962500721156,3,3,1178.552204073029,469.539115066284,3.5100192215224815,16.32618940300017,1
