idx,subject,small_correct,small_entropy,small_energy,small_carbon,large_correct,large_entropy,large_energy,large_carbon
0,college_physics,0,1.50390625,27.11567518958998,4.293315238351747,0,0.73828125,8.822280413853507,1.3968610655268052
1,anatomy,0,1.7880859375,1.5333662807155195,0.24278299444662388,0,1.546875,2.4906224522242906,0.39434855493551263
2,high_school_statistics,1,0.84716796875,1.4585367789199244,0.23093498999565468,1,0.0026092529296875,4.171942500240265,0.660557562538042
3,miscellaneous,0,1.6533203125,1.8506988680400558,0.2930273207730088,1,0.212890625,2.0535875120977836,0.32515135608214907
4,prehistory,0,1.294921875,1.3776615915478296,0.218129751995073,0,0.1142578125,3.82508314452039,0.6056381645490617
5,security_studies,0,1.474609375,1.4545704430951671,0.23030698682340148,1,0.08349609375,6.0420705457024475,0.9566611697362207
6,conceptual_physics,0,1.0126953125,1.5568283304866355,0.24649781899371725,0,0.032958984375,2.1591495984773865,0.3418653530922529
7,marketing,1,0.0210723876953125,1.6226116930756476,0.2569135180703109,1,0.004638671875,2.58996661731125,0.41007804774094786
8,professional_law,0,1.947265625,1.5859512510490739,0.25110894808277,0,1.0,4.488305251250167,0.710648331447943
9,jurisprudence,0,0.440673828125,1.484808696961474,0.2350947103522334,0,0.138671875,2.01792386505154,0.31950461196649377
10,moral_scenarios,1,1.80859375,1.4334244150797795,0.22695886572096508,0,0.10791015625,4.7643902226354955,0.7543617852506201
11,public_relations,0,1.7412109375,1.4737505973058374,0.2333438445734242,0,1.0078125,2.055925951273045,0.32552160895156546
12,jurisprudence,1,0.337890625,1.591893535356017,0.2520498097647027,1,0.000957489013671875,2.297096082538779,0.3637068797353067
13,management,0,1.0361328125,1.5696582012585416,0.24852921519926907,1,0.007049560546875,2.690413535626265,0.4259821431408253
14,public_relations,1,1.5048828125,1.3748884060062607,0.21769066428432463,0,1.1484375,3.615166228892168,0.5724013195745933
15,professional_law,0,1.6103515625,1.4030580838507773,0.22215086327637307,0,1.984375,6.441099903071834,1.0198408179863736
16,college_physics,0,1.783203125,1.6171544194975827,0.2560494497537839,0,1.921875,3.3793970115248677,0.5350711934914374
17,professional_psychology,1,1.2158203125,1.8420373229135134,0.29165590946130626,1,0.041015625,2.154052628401941,0.34105833283030723
18,professional_law,0,1.005859375,1.6015365419979657,0.2535766191496779,0,1.1875,6.445179616621508,1.0204867726317388
19,marketing,1,0.351806640625,1.6321887306318426,0.2584298823500417,1,0.07568359375,2.170448537398056,0.3436543517546923
20,high_school_psychology,0,1.8505859375,1.5307455077624408,0.2423680387290531,0,1.609375,2.239537676206098,0.35459346539929887
21,high_school_us_history,1,1.6201171875,1.6041724443694214,0.25399397035849175,1,0.04345703125,8.095615246661312,1.281805747388041
22,professional_law,1,0.4580078125,1.5973769297997638,0.2529180138849626,1,0.00140380859375,4.249834820139396,0.6728905131887377
23,prehistory,0,1.9365234375,1.6148669770809656,0.2556872713711528,1,0.13671875,3.221731691998447,0.5101075178997541
24,high_school_psychology,1,0.374755859375,2.2148207339940593,0.3506799495490594,1,0.0007171630859375,4.056646199784077,0.6423023149658121
