threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.6000,0.578354,0.540,1.0374
0.2,0.6200,0.538199,0.477,1.1520
0.3,0.6300,0.525235,0.457,1.1995
0.4,0.6467,0.492303,0.407,1.3136
0.5,0.6567,0.470857,0.373,1.3946
0.6,0.6567,0.444280,0.330,1.4780
0.7,0.6533,0.437732,0.320,1.4925
0.8,0.6500,0.412515,0.280,1.5757
0.9,0.6533,0.397315,0.257,1.6444
1.0,0.6500,0.377465,0.227,1.7220
1.1,0.6500,0.345123,0.177,1.8834
1.2,0.6567,0.319172,0.137,2.0574
1.3,0.6500,0.293696,0.097,2.2132
1.4,0.6533,0.277693,0.073,2.3527
1.5,0.6533,0.264029,0.050,2.4745
1.6,0.6467,0.256483,0.037,2.5213
1.7,0.6533,0.249892,0.027,2.6145
1.8,0.6500,0.239501,0.010,2.7140
1.9,0.6500,0.232870,0.000,2.7913
