idx,shannon_raw,shannon_cal,semantic_entropy,n_clusters,k,extra_energy_j,base_energy_j,overhead_x,wall_s,small_score
0,1.4598133771325505,8.522908609064798,0.9182958340544896,2,3,1731.8866878769418,261.7864781330928,7.615646080071587,23.806798931000003,3
1,1.6854530149139464,7.991772572994233,1.584962500721156,3,3,1630.3544935411528,493.95899645819793,4.300586698959179,21.653936621999947,3
2,2.2289552616514268,9.623338358998298,0.9182958340544896,2,3,1673.7448169889371,533.6571614585541,4.136367199522584,21.756300683000063,3
3,1.6792238249070943,10.538541799287001,0.9182958340544896,2,3,1671.5303147238615,525.3370390586834,4.1818246010579525,21.488753624999845,1
4,1.8338645044279596,9.706867930392423,1.584962500721156,3,3,1650.0555324264124,504.0047059873834,4.273889137986973,21.29303512699994,3
5,1.0869314497119438,9.781036770741144,0.9182958340544896,2,3,1671.5043717413873,518.1756305923126,4.225748709623291,21.62629416300001,1
6,1.4935948298871518,8.966317363381386,1.584962500721156,3,3,1679.3758673953503,531.7852011811933,4.157996619058119,21.525118150000026,1
7,1.4582578366001446,8.382379628419876,1.584962500721156,3,3,1684.1917712739848,535.5552912438584,4.144757971417575,21.686690175999956,3
8,1.492466782880947,9.00253136307001,1.584962500721156,3,3,1671.949577121566,530.3088500623458,4.15278460264241,21.812573360000215,3
9,1.8391638550596932,9.38896053135395,1.584962500721156,3,3,1673.7690411506246,521.7542193349017,4.2079645532799645,21.68312647500011,3
10,1.368957153937469,8.929758072296778,1.584962500721156,3,3,1653.7595309662388,519.9108782526365,4.180851950096415,21.24593921099995,3
11,1.701702996244033,8.86533750851949,1.584962500721156,3,3,1665.0217187911421,521.7686014251284,4.1911113743590525,21.577453644999878,3
12,1.9488584893227865,10.06343883196513,0.9182958340544896,2,3,1669.9813087378955,519.1594576444122,4.216702082853541,21.623071562000177,3
13,2.0584020924133557,11.10240676611662,1.584962500721156,3,3,1681.353151818581,515.2090395843462,4.263438764923538,21.4333122380001,2
14,1.6039003170778354,9.257608908414841,1.584962500721156,3,3,1685.1061518000495,528.6546708795372,4.187536674927117,21.854953483999907,3
